item,itemLabel,position,positionLabel,start,psid
Q100256343,Daniel Ngamije,Q100256185,Health Minister of Rwanda,2020-02-27,Q100256343-115e2c85-4d52-1afe-ba62-bbddb8d1d5b0
Q108571050,Valentine Uwamariya,Q98207142,Minister of Education of Rwanda,2020-02-28,Q108571050-9304FA30-B7BF-444D-939E-C8ACD57D764E
Q109606456,Jeannette Bayisenge,Q109712031,Minister of Gender and Family Promotion,2020-02-27,Q109606456-05A98CFB-ED4F-485C-9589-846326E0D828
Q109609508,Beata Habyarimana,Q109711765,Minister of Trade and Industry,2018-10-01,Q109609508-257D6FB8-AC8C-401B-B90C-894D8BADCB1E
Q109610585,Ines Mpambara,Q109711603,Minister in charge of Cabinet Affairs,2020-03-01,Q109610585-D7073EE2-815C-4053-B26D-9B808BDA2878
Q109711472,Ugirashebuja Emmanuel,Q109711473,Minister of Justice,2021-09-17,Q109711472-06183C14-232A-4574-A065-154C316CDCB2
Q110274041,Alfred Gasana,Q110274042,Minister of the Interior,2021-12-11,Q110274041-8EF1B35E-04F6-48AD-8127-61CAFD4D2D3F
Q14949498,Claver Gatete,Q109711869,Minister of Infrastructure,2018-04-07,Q14949498-F346A41A-D6BD-4D5D-9EF8-72EED00CE895
Q1684792,Jean-Damascène Bizimana,Q109712174,Minister of National Unity and Civic Engagement,2021-08-31,Q1684792-7D9D80B3-47A5-496E-86D6-5BAB4C934E5F
Q3176134,Jeanne d'Arc Mujawamariya,Q109711942,Minister of the Environment,2019-11-01,Q3176134-963cdb7a-454f-d904-bd94-fed2952192ae
Q36490445,Gérardine Mukeshimana,Q109711367,Minister of Agriculture and Animal Resources,2014-07-01,Q36490445-2667DC6B-C969-40B4-BA89-E1E6FDEA2919
Q38188115,Édouard Ngirente,Q2590706,Prime Minister of Rwanda,2017-08-30,Q38188115-3aa20038-4ae4-2a8b-8f99-ca61fa76ceeb
Q38242931,Judith Uwizeye,Q109711532,Minister in the Office of the President,2017-08-31,Q38242931-8F17BC34-6C3A-4F7B-91C8-77F2888567A5
Q38286498,Rosemary Mbabazi,Q109712008,Minister of Youth and Culture,2017-08-31,Q38286498-CBFE066D-1183-4559-AFAA-1CF2162F2A95
Q38525495,Clare Akamanzi,Q109712081,CEO of Rwanda Development Board,2017-02-14,Q38525495-C7C6506F-F9C9-494F-982E-E432B18A2569
Q38695729,Marie-Solange Kayisire,Q109712055,Minister of Emergency Management,2020-02-28,Q38695729-8ED85383-35EB-4B80-97ED-4452DADD40F8
Q40111342,Fanfan Rwanyindo Kayirangwa,Q109712013,Minister of Public Service and Labour,2017-08-31,Q40111342-F5831E19-3D6F-4317-BD6C-5D3703413393
Q40155410,Vincent Biruta,Q18204390,Minister of Foreign Affairs,2019-11-04,Q40155410-b58d5638-4659-0c05-e9a6-73b444a4b957
Q45175240,Jean Marie Vianney Gatabazi,Q109711307,Minister of Local Government,2018-10-01,Q45175240-1FEC6FF2-D2A1-43B2-8A31-2557DB160F53
Q55760353,Uzziel Ndagijimana,Q109711433,Minister of Finance and Economic Planning,2018-04-06,Q55760353-AC7935BA-5127-420C-B8EE-76FDBD93F9EE
Q57531804,Paula Ingabire,Q109711984,Minister of ICT and Innovation,2018-10-18,Q57531804-B3251CA6-8E54-44ED-81E4-1D6B8326DC86
Q57586146,Albert Murasira,Q98208489,Minister of Defence of Rwanda,2018-10-18,Q57586146-4737FCD0-19EB-449E-99BD-F3533ED1825B
Q74386992,Aurore Mimosa Munyangaju,Q109711967,Minister of Sports,2019-11-05,Q74386992-1BCC2692-7DB8-4518-98ED-E3EDBDA2BD2C
