position,person,personID,start,end
President,Pasteur Bizimungu,Q471882,1994-07-19,2000-03-23
President,Paul Kagame,Q1231345,2000-04-22,
Prime Minister,Pierre-Célestin Rwigema,Q330951,1995-08-31,2000-03-08
Prime Minister,Bernard Makuza,Q319916,2000-03-08,2011-10-07
Prime Minister,Pierre Habumuremyi,Q57853,2011-10-07,2014-07-24
Prime Minister,Anastase Murekezi,Q17417622,2014-07-24,2017-08-30
Prime Minister,Édouard Ngirente,Q38188115,2017-08-30,
Minister of Agriculture and Animal Resources,Gérardine Mukeshimana,Q36490445,2014-07,
Minister in charge of Cabinet Affairs,Ines Mpambara,Q109610585,2020-03,
Minister of Defence,Paul Kagame,Q1231345,1994-07-19,2000-04-22
Minister of Defence,Emmanuel Habyarimana,Q5373245,2000-04-22,2002-11-15
Minister of Defence,Marcel Gatsinzi,Q3288975,2002-11-15,2010-04-10
Minister of Defence,James Kabarebe,Q3161197,2010-04-10,2018-10-18
Minister of Defence,Albert Murasira,Q57586146,2018-10-18,
Minister of Education,Jeanne d'Arc Mujawamariya,Q3176134,2003,2005
Minister of Education,Charles Murigande,Q2959873,2009-07-26,2011-05
Minister of Education,Pierre Habumuremyi,Q57853,2011-05,2011-10-06
Minister of Education,Vincent Biruta,Q40155410,2011-12,2014-07-24
Minister of Education,Silas Lwakabamba,Q7514187,2014-07-24,2015-06-24
Minister of Education,Valentine Uwamariya,Q108571050,2020-02-28,
Minister in charge of Emergency Management,Marie-Solange Kayisire,Q38695729,2020-02-28,
Minister of Environment,Jeanne d'Arc Mujawamariya,Q3176134,2019-11,
Minister of Finance and Economic Planning,Claver Gatete,Q14949498,2013-02-26,2018-04-06
Minister of Finance and Economic Planning,Uzziel Ndagijimana,Q55760353,2018-04-06,
Minister of Foreign Affairs,Augustin Iyamuremye,Q4821112,1999,2000-03
Minister of Foreign Affairs,André Bumaya,Q108461900,2000,2002
Minister of Foreign Affairs,Rosemary Museminali,Q522314,2005-09-02,2009-12-04
Minister of Foreign Affairs,Louise Mushikiwabo,Q514051,2009-12-04,2018-10-18
Minister of Foreign Affairs,Richard Sezibera,Q7328975,2018-10-18,2019-11-04
Minister of Foreign Affairs,Vincent Biruta,Q40155410,2019-11-04,
Minister of Gender and Family Promotion,Jeannette Bayisenge,Q109606456,2020-02-27,
Minister of Health,Agnes Binagwaho,Q4693015,2011,2016
Minister of Health,Diane Gashumba,Q28595120,2016-10-04,2020-02-27
Minister of Health,Daniel Ngamije,Q100256343,2020-02-27,
Minister of ICT and Innovation,Paula Ingabire,Q57531804,2018-10-18,
Minister of Infrastructure,Claver Gatete,Q14949498,2018-04-07,2022-01-31
Minister of Infrastructure,Ernest Nsabimana,Q110897029,2022-01-31,
Minister of the Interior,Alfred Gasana,Q110274041,2021-12-11,
Minister of Justice,Ugirashebuja Emmanuel,Q109711472,2021-09-17,
Minister of Local Government,Jean Marie Vianney Gatabazi,Q45175240,2018-10,
Minister of National Unity and Civic Engagement,Jean-Damascène Bizimana,Q1684792,2021-08-31,
Minister of Public Service and Labor,Fanfan Rwanyindo Kayirangwa,Q40111342,2017-08-31,
Minister of Sports,Aurore Mimosa Munyangaju,Q74386992,2019-11-05,
Minister of Trade and Industry,Beata Habyarimana,Q109609508,2018-10,
Minister of Youth and Culture,Rosemary Mbabazi,Q38286498,2017-08-31,
Minister in the Office of the President,Judith Uwizeye,Q38242931,2017-08-31,
CEO of Rwanda Development Board,Clare Akamanzi,Q38525495,2017-02-14,
President of the Senate,Augustin Iyamuremye,Q4821112,2019-10-17,
President of the Chamber of Deputies,Rose Mukantabana,Q20795960,2008-10-16,2013
President of the Chamber of Deputies,Donatille Mukabalisa,Q28868753,2013-10-05,
Chief of Defence Staff,Jean Bosco Kazura,Q6170299,2019-11-04,
Governor of the National Bank,John Rwangombwa,Q27063755,2013-02-25,
Mayor of Kigali,Marc Kabandana,Q106622851,1999,2001
Mayor of Kigali,Theoneste Mutsindashyaka,Q106622868,2001,2006
Mayor of Kigali,Aisa Kirabo Kacyira,Q4699098,2006,2011
Mayor of Kigali,Fidèle Ndayisaba,Q106622939,2011-02,2016-02
Mayor of Kigali,Monique Mukaruliza,Q106622966,2016-02,2017-02
Mayor of Kigali,Pascal Nyamulinda,Q106623029,2017-02,2018-04
Mayor of Kigali,Marie Chantal Rwakazina,Q105998391,2018-05,2019
Mayor of Kigali,Pudence Rubingisa,Q106622696,2019-08-15,
Minister of State in charge of Infrastructure,Patricie Uwase,Q109593416,2022-01-31,
ambassador to Germany,Igor Cesar,Q50175299,2015,
ambassador to the People's Republic of China,Charles Kayonga,Q5079686,2014-02-25,
ambassador to the United States of America,Mathilde Mukantabana,Q51177851,2013-07-18,
