wanted,position,positionid,from,start,end
Q38836017,Minister of Infrastructure,Q109711869,Q14949498,2018-04-07,2022-01-31
Q100256408,Minister of Foreign Affairs,Q18204390,Q522314,2005-09-02,2009-12-04
