position,title
Q19057726,President
Q2590706,Prime Minister
Q109711367,Minister of Agriculture and Animal Resources
Q109711603,Minister in charge of Cabinet Affairs
Q98208489,Minister of Defence
Q98207142,Minister of Education
Q109712055,Minister in charge of Emergency Management
Q109711942,Minister of Environment
Q109711433,Minister of Finance and Economic Planning
Q18204390,Minister of Foreign Affairs
Q109712031,Minister of Gender and Family Promotion
Q100256185,Minister of Health
Q109711984,Minister of ICT and Innovation
Q109711869,Minister of Infrastructure
Q110274042,Minister of the Interior
Q109711473,Minister of Justice
Q109711307,Minister of Local Government
Q109712174,Minister of National Unity and Civic Engagement
Q109712013,Minister of Public Service and Labor
Q109711967,Minister of Sports
Q109711765,Minister of Trade and Industry
Q109712008,Minister of Youth and Culture
Q109711532,Minister in the Office of the President
Q109712081,CEO of Rwanda Development Board
Q109712273,President of the Senate
Q109712223,President of the Chamber of Deputies
Q109712312,Chief of Defence Staff
Q109712324,Governor of the National Bank
Q98879947,Mayor of Kigali
